,Area,mnemonic,2011,2012,2013,2014,2015,2016,2017,2018,2019,Size,Latitude,Longitude,Convenience Store,Supermarket
189,Codsall,E34004099,11679,11662,11669,11708,11682,11681,11674,11752,11886,Small Town,52.62661000000003,-2.1801099999999565,0,1
190,Cockermouth,E34004122,9144,9171,9189,9167,9254,9202,9382,9372,9495,Small Town,54.66370000000007,-3.3649299999999585,0,3
191,Blandford Forum,E34004125,11759,12037,12151,12249,12331,12323,12362,12344,12363,Small Town,50.86262000000005,-2.1587999999999283,0,3
192,Sittingbourne,E34004134,49189,49829,50341,51019,51354,52144,52553,53091,53554,Medium Town,51.340840000000064,0.7379100000000562,0,5
193,Newhaven,E34004141,13255,13295,13302,13498,13647,13846,14019,14031,14118,Small Town,50.79510000000005,0.046180000000049404,0,2
194,Hadleigh,E34004142,8164,8098,8321,8556,8656,8749,8676,8734,8825,Small Town,51.551330000000064,0.6140900000000329,1,2
195,Thetford,E34004143,24986,25432,25659,26246,26629,27010,27269,27286,27290,Medium Town,52.413290000000075,0.7407200000000671,0,5
196,Annfield Plain,E34004151,10398,10413,10379,10566,10776,10833,10808,10794,10894,Small Town,54.85943000000003,-1.7385299999999688,0,1
197,Westbury (Wiltshire),E34004157,17056,17210,17535,17708,17769,17711,17860,17905,18057,Small Town,51.25746000000004,-2.1851299999999583,0,3
198,Towcester,E34004170,9101,9128,9228,9407,9544,9578,9721,9885,10354,Small Town,52.13059000000004,-0.9871099999999728,1,2
199,Totnes,E34004175,8083,8193,8295,8372,8302,8316,8496,8724,8844,Small Town,50.43449000000004,-3.689839999999947,0,2
200,Hinckley,E34004181,45375,45742,46110,46765,47391,48182,48841,49408,49741,Medium Town,52.54245000000003,-1.3727199999999584,0,5
201,Yarm,E34004185,19188,19271,19363,19407,19432,19464,19570,19571,19896,Small Town,54.508600000000065,-1.354129999999941,0,3
202,Princes Risborough,E34004187,8214,8350,8301,8255,8148,8159,8017,8029,8101,Small Town,51.72182000000004,-0.8324499999999375,0,1
