,Town,Population,Size,Latitude,Longitude,Supermarkets,7.5km,10km,12.5km,15km,Estimated Requirement
214,Herne Bay,40876,Medium Town,51.37127,1.12621,5,77294,84357,149621,182824,-2.0649966466581002
215,Leatherhead,33355,Medium Town,51.29639,-0.32939,14,103643,236296,590613,844678,-0.2931095821493006
216,Whitley Bay,37277,Medium Town,55.048559999999995,-1.4495799999999999,20,206821,421766,436986,867536,8.2249254523654
217,Horley,26466,Medium Town,51.17545,-0.1692,14,219937,232922,251243,346148,5.269360228907701
218,Newark-on-Trent,39947,Medium Town,53.07428,-0.80972,6,48910,67008,73921,87808,0.1757699641118995
219,Hitchin,36551,Medium Town,51.95362,-0.28469,10,87666,216279,465865,497538,-2.2484179948265
220,Hedge End,26506,Medium Town,50.915859999999995,-1.29243,15,190978,503602,926127,958344,-4.792377331764701
221,Loughton,33088,Medium Town,51.6477,0.05552000000000002,23,81646,748859,755904,1919670,5.9976757037056
222,Barry,57920,Medium Town,51.40178,-3.27799,6,73395,110754,464932,483490,-6.233125587325201
223,Merthyr Tydfil,45109,Medium Town,51.75057,-3.37635,10,100612,127105,203400,248428,2.0535345612599993
224,Pontypridd,30967,Medium Town,51.59765,-3.3311699999999997,9,129288,231874,327370,368785,-0.9784051578570008
225,Caerphilly,41986,Medium Town,51.57658,-3.21771,18,78666,182533,607204,641910,3.4349543697755998
226,Llanelli,45309,Medium Town,51.68268,-4.13425,8,86256,112619,121833,321624,1.3904646820086999
227,Pontypool,29166,Medium Town,51.7033,-3.0432900000000003,7,106153,120617,193019,400537,-0.7763148682459002
228,Rhyl,26466,Medium Town,53.311580000000006,-3.47234,9,65991,78889,82505,99558,3.0350732588694997
229,Colwyn Bay,28233,Medium Town,53.29387,-3.72535,7,66153,75904,77159,92893,1.1226972787001
230,Penarth,30010,Medium Town,51.43909,-3.1745400000000004,24,393140,451332,451749,471730,11.9829513774011
231,Aberdare,31396,Medium Town,51.7126,-3.4457,7,132542,160732,204474,244745,-0.9640689174714003
232,Bridgend,49338,Medium Town,51.50884,-3.5782199999999995,9,78376,119153,159395,195506,1.7748018625404995
233,Neath,51433,Medium Town,51.662729999999996,-3.7998199999999995,12,67827,111594,319114,336625,2.1569154384245994
234,Cwmbran,48287,Medium Town,51.65773,-3.02576,8,85907,258225,314885,364879,-1.7737688152485003
235,Port Talbot,38104,Medium Town,51.59138,-3.80235,6,40798,92231,315413,347995,-3.7824230394293004
