,Area,mnemonic,2011,2012,2013,2014,2015,2016,2017,2018,2019,Size,Latitude,Longitude
150,Whitchurch (Shropshire),E34002927,9722,9712,9855,9883,10011,9917,9968,10111,10211,Small Town,52.970570,-2.6851999
151,Tidworth,E34002963,10023,10061,10098,10305,10971,10943,11304,11507,11686,Small Town,51.237100,-1.6640299
152,Barton-upon-Humber,E34002993,11080,11115,11227,11374,11449,11529,11659,11709,11670,Small Town,53.684640,-0.4437799
153,Keynsham,E34003029,15612,15670,15839,15869,16285,16739,17293,17945,18361,Small Town,51.414590,-2.4969599
154,Sleaford,E34003071,17412,17594,17656,17858,17823,17912,17983,18331,18569,Small Town,52.994800,-0.4108399
155,Barrow-in-Furness,E34003078,45864,45322,44965,44874,44795,44662,44407,44407,44513,Medium Town,54.111020,-3.2258099
156,Clowne,E34003098,7601,7617,7667,7714,7827,7898,8129,8303,8393,Small Town,53.274810,-1.2644499
157,Chatteris,E34003102,10358,10434,10557,10684,10890,10858,11000,11115,10978,Small Town,52.453620,0.04867000
158,Brixham,E34003104,16681,16758,16801,16843,16794,16796,16977,16986,16982,Small Town,50.394190,-3.5167799
159,Murton (County Durham),E34003109,7396,7452,7578,7711,7720,7670,7580,7549,7536,Small Town,54.815470,-1.3834399
160,Tiverton,E34003112,19606,19714,19727,19875,19946,19975,20150,20411,20587,Small Town,50.905550,-3.4937699
161,Hurstpierpoint,E34003124,12755,12871,13090,13256,13406,13572,13729,13796,13926,Small Town,50.932760,-0.1759699
162,South Hayling,E34003129,15479,15520,15673,15746,15773,15646,15885,16034,16020,Small Town,50.789690,-0.9772999
163,Swaffham,E34003165,7257,7213,7424,7438,7602,7837,8052,8209,8278,Small Town,52.644020,0.68976000
164,Ledbury,E34003168,8853,8917,9027,9131,9157,9182,9202,9198,9156,Small Town,52.039560,-2.4245899
165,Skipton,E34003174,14613,14680,14630,14618,14709,14875,15047,15170,15329,Small Town,53.960210,-2.0178899
166,Bradford on Avon,E34003178,9162,9286,9290,9443,9475,9596,9638,9605,9756,Small Town,51.348340,-2.2517699
167,Sherburn in Elmet,E34003205,6670,6700,6780,6820,6829,6880,7110,7482,7854,Small Town,53.797360,-1.2518099
168,Ludlow,E34003206,10532,10570,10555,10591,10519,10477,10537,10516,10557,Small Town,52.370570,-2.7189999
169,Bingham,E34003218,9153,9214,9491,9706,9930,10051,10220,10268,10197,Small Town,52.950610,-0.9563899
170,Lewes,E34003222,17357,17575,17657,17822,17767,17890,17880,17980,17943,Small Town,50.873220,0.01063000
171,Haxby,E34003244,11862,11782,11792,11808,11807,11902,11771,11715,11679,Small Town,54.015720,-1.0740299
172,Shaftesbury,E34003253,7324,7750,7944,8152,8431,8637,8726,8782,8935,Small Town,51.006050,-2.1873399
173,Calne,E34003294,17335,17317,17494,17753,18007,18126,18089,18204,18408,Small Town,51.437670,-2.0049299
174,King's Hill,E34003297,7527,7788,7989,8284,8449,8585,8883,8935,8996,Small Town,51.272420,0.38806000
175,Cobham (Elmbridge),E34003299,17298,17754,17983,18313,18365,18512,18675,18955,19127,Small Town,52.307870,-2.1473999
176,Beccles,E34003308,13868,13918,14021,14072,14121,14123,14167,14192,14197,Small Town,52.453670,1.56687000
177,Tiptree,E34003332,9168,9199,9113,9247,9301,9331,9220,9186,9219,Small Town,51.816450,0.74535000
178,Peacehaven,E34003343,18556,19039,19289,19100,19473,19609,20025,20165,20247,Small Town,50.791840,-0.0036199
179,Leighton Buzzard,E34003354,37648,38397,39145,39867,40697,41366,41814,42050,42573,Medium Town,51.917350,-0.6638999
180,Broughton Astley,E34003376,8994,9037,9017,8914,8893,8886,8950,9144,9220,Small Town,52.531920,-1.2252299
181,Whittlesey,E34003389,12749,12826,12796,12867,12924,12878,12959,13224,13329,Small Town,52.558520,-0.1318099
182,Brandon (Forest Heath),E34003397,9178,9017,9082,9357,9406,9213,9484,9474,9343,Small Town,52.442182,0.62126795
183,Bourne,E34003418,13948,14191,14591,15006,15473,15810,16145,16470,16780,Small Town,52.769620,-0.3769799
184,Cheadle,E34003425,11438,11388,11335,11313,11280,11303,11223,11232,11353,Small Town,53.395260,-2.2124299
185,Fleetwood,E34003462,25320,25169,25214,25303,25464,25575,25659,25553,25632,Medium Town,53.921350,-3.0144099
186,Shildon,E34003463,9957,9905,9830,9782,9812,9802,9908,9984,9938,Small Town,54.628880,-1.6522999
187,Ashby-de-la-Zouch,E34003491,12389,12425,12648,12806,13096,13435,13803,14157,14528,Small Town,52.748160,-1.4741699
188,Harpenden,E34003511,30314,30425,30550,30769,30925,31141,31167,31392,31613,Medium Town,51.816340,-0.3566499
189,Attleborough,E34003517,10596,10649,10852,10906,11050,11306,11518,11632,11659,Small Town,52.519070,1.01446000
190,Fleet,E34003525,38877,39448,39987,40306,40847,41048,41233,41592,42262,Medium Town,51.276880,-0.8424199
191,Ramsey (Huntingdonshire),E34003541,7822,7792,7936,7916,7973,7908,7825,7795,7765,Small Town,52.375084,-0.2213210
192,Wantage,E34003553,18574,18700,19006,19059,18985,19118,19397,19610,19834,Small Town,51.591820,-1.4236999
193,East Leake,E34003561,6340,6433,6546,6607,6679,6832,7181,7593,7996,Small Town,52.833280,-1.1775899
194,New Ollerton,E34003574,9846,9905,10039,10204,10375,10556,10623,10819,10955,Small Town,53.203670,-1.0112799
195,Uttoxeter,E34003596,13107,13191,13200,13172,13176,13130,13105,13283,13467,Small Town,52.896980,-1.8697799
196,Bircotes,E34003597,7960,7907,7861,7785,7864,7941,8134,8303,8506,Small Town,53.416600,-1.0503099
197,North Walsham,E34003606,12467,12415,12447,12479,12504,12462,12514,12586,12710,Small Town,52.818500,1.38491000
198,Seaton (East Devon),E34003628,8387,8421,8444,8402,8502,8562,8684,8740,8837,Small Town,50.704770,-3.0751699
199,Stotfold,E34003657,6864,7067,7269,7550,8032,8143,8243,8382,8538,Small Town,52.015450,-0.2308899
200,Shepshed,E34003678,13497,13560,13526,13601,13671,13773,13969,13863,14059,Small Town,52.770950,-1.2889399
201,Clacton-on-Sea,E34003679,50547,50889,51271,51836,52544,53016,53398,53685,53768,Medium Town,51.801920,1.15341000
202,Whitby,E34003687,13196,13097,13182,13048,13049,13045,13029,13014,13143,Small Town,54.485220,-0.6151399
203,Ashbourne,E34003707,8385,8391,8488,8538,8612,8676,8801,8993,9163,Small Town,53.018290,-1.7325999
204,Congleton,E34003723,26222,26387,26360,26341,26405,26322,26250,26379,26380,Medium Town,53.164110,-2.2118199
205,Todmorden,E34003742,11686,11929,11893,11974,12035,12080,12115,12159,12171,Small Town,53.714310,-2.0972999
206,Stocksbridge,E34003743,13052,12972,12832,12866,12854,12800,12909,12979,13053,Small Town,53.481950,-1.5910999
207,Shifnal,E34003749,6242,6254,6375,6498,6623,6727,6995,7267,7618,Small Town,52.665480,-2.3727299
208,Twyford (Wokingham),E34003750,7557,7608,7685,7626,7670,7671,7647,7801,7854,Small Town,51.425980,-0.8397310
209,Spennymoor,E34003756,17756,18016,18124,18304,18496,18745,18917,19226,19607,Small Town,54.701970,-1.5821899
210,Stubbington,E34003761,24845,24959,25018,25103,25092,25364,25363,25300,25239,Medium Town,50.828920,-1.2170999
211,Alton (East Hampshire),E34003769,18323,18427,18645,18749,19099,19293,19268,19371,19785,Small Town,51.147650,-0.9748699
212,Radlett,E34003774,8185,8164,8203,8132,8151,8160,8135,8158,8108,Small Town,51.683580,-0.3171899
213,Neston,E34003804,15053,15025,15015,15138,15242,15210,15202,15124,15104,Small Town,53.290720,-3.0645699
214,Middlewich,E34003809,13628,13654,13666,13891,13961,14109,14138,14084,14130,Small Town,53.192330,-2.4531699
215,Edenbridge,E34003851,8218,8349,8573,8820,8838,8816,8831,8955,9004,Small Town,51.197410,0.06473000
216,Maryport,E34003862,9564,9555,9618,9605,9463,9556,9517,9501,9538,Small Town,54.712500,-3.4964399
217,Wymondham (South Norfolk),E34003864,13665,13749,14012,14374,14778,14908,15267,15606,16441,Small Town,52.570330,1.11595000
218,Saltash,E34003892,15588,15759,15746,15924,15847,15830,15919,15891,15762,Small Town,50.408830,-4.2132399
219,Potters Bar,E34003904,22697,22683,22667,22943,23137,23367,23537,23505,23429,Small Town,51.693130,-0.1783299
220,Clevedon,E34003928,21039,20981,21090,21100,21217,21175,21117,21128,21138,Small Town,51.435930,-2.8550599
221,Tavistock,E34004090,12305,12314,12376,12493,12384,12485,12504,12471,12545,Small Town,50.550080,-4.1448499
222,Codsall,E34004099,11679,11662,11669,11708,11682,11681,11674,11752,11886,Small Town,52.626610,-2.1801099
223,Cockermouth,E34004122,9144,9171,9189,9167,9254,9202,9382,9372,9495,Small Town,54.663700,-3.3649299
224,Blandford Forum,E34004125,11759,12037,12151,12249,12331,12323,12362,12344,12363,Small Town,50.862620,-2.1587999
225,Sittingbourne,E34004134,49189,49829,50341,51019,51354,52144,52553,53091,53554,Medium Town,51.340840,0.73791000
226,Buxton (High Peak),E34004138,22121,22380,22388,22427,22597,22580,22661,22596,22437,Small Town,53.339700,-1.9281076
227,Newhaven,E34004141,13255,13295,13302,13498,13647,13846,14019,14031,14118,Small Town,50.795100,0.04618000
228,Hadleigh,E34004142,8164,8098,8321,8556,8656,8749,8676,8734,8825,Small Town,51.551330,0.61409000
229,Thetford,E34004143,24986,25432,25659,26246,26629,27010,27269,27286,27290,Medium Town,52.413290,0.74072000
230,Billingshurst,E34004149,6955,6941,7106,7259,7470,7675,7809,7854,7989,Small Town,51.021200,-0.4524999
231,Annfield Plain,E34004151,10398,10413,10379,10566,10776,10833,10808,10794,10894,Small Town,54.859430,-1.7385299
